Symbols	EntrezID	EnsemblID	Ensembl_version_id	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
AC126474.2	NA	ENSG00000280088	ENSG00000280088.1	5	17	557	479	429	35,0259661362156	0,279718297556307	0,490750413179577	0,569980768317664	0,568690742026269	0,728717445328863	ENSG00000280088.1	AC126474.2	NC
AC027290.2	NA	ENSG00000280138	ENSG00000280138.1	22	2	209	251	148	23,0534896874297	1,37141984248749	0,953864462153888	1,43775127064776	0,150504640074571	0,248905299676597	ENSG00000280138.1	AC027290.2	NC
AC104447.1	NA	ENSG00000280173	ENSG00000280173.1	1	24	308	238	235	36,3521820724326	1,58769068019437	1,14535850474829	1,38619539088618	0,165687248527832	0,269619594947493	ENSG00000280173.1	AC104447.1	NC
AC000123.3	NA	ENSG00000280347	ENSG00000280347.1	28	12	571	662	388	49,361600173095	0,909139869346783	0,440577371284875	2,0635192104747	0,0390633245384056	0,0812091046249534	ENSG00000280347.1	AC000123.3	NC
AL359740.1	NA	ENSG00000280375	ENSG00000280375.1	26	0	2	4	2	20,6379932891804	7,76442215154216	1,52924200843432	5,07730111304723	3,82833904431797e-07	2,68083494380286e-06	ENSG00000280375.1	AL359740.1	Up
LINC01232	NA	ENSG00000280734	ENSG00000280734.3	2	198	276	295	309	209,091601247158	4,22249333705981	1,50253821603723	2,81024022683172	0,00495045342984684	0,0142127200634145	ENSG00000280734.3	LINC01232	Up
EIF1B-AS1	440952	ENSG00000280739	ENSG00000280739.3	80	0	86	88	95	79,0027846318695	4,53943205619699	1,61887375314578	2,80406798082679	0,00504622640590501	0,0144433198341294	ENSG00000280739.3	EIF1B-AS1	Up
TRG-AS1	100506776	ENSG00000281103	ENSG00000281103.2	18	14	903	1289	1059	64,3140162891576	-0,30282866082655	0,366343260181282	-0,826625445972985	0,408449390078593	0,564720881594288	ENSG00000281103.2	TRG-AS1	NC
FP671120.7	NA	ENSG00000281383	ENSG00000281383.1	10	14	11	8	10	24,895048550429	6,06517177063206	0,502124745175194	12,0790138883036	1,36345056282597e-33	8,82875307217855e-32	ENSG00000281383.1	FP671120.7	Up
LINC01176	100506516	ENSG00000281404	ENSG00000281404.2	29	4	222	203	279	37,7524614789834	1,86037391466132	0,824148528447835	2,25732844316918	0,0239875593372594	0,0548600585779152	ENSG00000281404.2	LINC01176	NC
SEPSECS-AS1	NA	ENSG00000281501	ENSG00000281501.1	22	0	338	259	275	26,9365240643339	0,862382561736137	1,23762257799279	0,696805776713264	0,485924350444489	0,648844825208424	ENSG00000281501.1	SEPSECS-AS1	NC
EBLN3P	100506710	ENSG00000281649	ENSG00000281649.2	48	78	5516	6588	5670	288,17617722029	-0,796497384361823	0,280520241998014	-2,83935796821201	0,00452044141359106	0,0131041598583307	ENSG00000281649.2	EBLN3P	NC
HSP90AB4P	NA	ENSG00000282100	ENSG00000282100.1	54	0	6	0	2	52,1687206556964	9,0695098675909	2,09344544482927	4,33233638354046	1,47535297448862e-05	7,71894335496627e-05	ENSG00000282100.1	HSP90AB4P	Up
ADORA3	140	ENSG00000282608	ENSG00000282608.1	90	10	116	145	147	90,2290986140384	4,12288569996964	1,05097302978461	3,92292245673953	8,74813137125937e-05	0,000388890256863801	ENSG00000282608.1	ADORA3	Up
FRG1CP	100289097	ENSG00000282826	ENSG00000282826.2	50	28	1104	848	978	99,1606270439323	1,05691599547906	0,273798586412068	3,86019522353705	0,000113296472331709	0,000492149436691672	ENSG00000282826.2	FRG1CP	Up
