	nCov1	nCov2	Ctrl1	Ctrl2	Ctrl3
48287	0	0	0.436013762842105	0.160432706302134	0.484285294844573
48288	0	0	0	0.00483604573727864	0.0238013835981786
48289	0	0	0	0	0
48290	0	0	0	0	0.084148863288596
48291	0	0	0	0	0
48292	0	0	12.2696724346772	11.414845041122	7.90999314912803
48293	0	0	0.0199483420908153	0	0.0221568435549805
48294	2.69389673982594	0	0.0349095986589267	0.0709049647068647	0.0904737778495036
48295	3.47819579066134	3.15087410765958	25.0832094769197	23.733866256025	27.5347862786102
48296	1340.29009238135	1618.51734566858	355.487034686109	386.091466118886	429.833863527289
48297	35.0779745696484	33.7027733372485	82.6486436335131	75.9182337202008	84.1182637019456
48298	73.3568804537218	90.106445069722	466.478169403036	495.298449617722	389.89227166441
48299	0.742641803952017	0	0.0384949087914651	0.0586403221629746	0
48300	8.4389543287614	3.24324500983853	6.67749633538316	4.16640080191906	4.7113965709092
48301	0	0	0.0765758938324844	0.0777667354849484	0
48302	14.6547982646531	11.6162225435717	20.1302709706835	21.0460116242916	23.2026465707755
48303	0	0	0	0	0
48304	0	0	0.71911498996434	0.612508033884708	0.979087099892068
48305	47.9770181283287	23.706576619534	58.6680740890876	56.2512720007794	46.7066262138988
48306	0	0	0.0506872464513953	0.283115197156947	0.253344976306592
48307	0	0	0.0761293871629072	0.133541128864824	0.122993090754177
48308	56.7989687954598	29.7890436941742	47.859065831456	49.0655927397551	57.0552180366841
48309	87.0582075127909	39.4327215057595	139.187680609457	134.549541839488	143.241361086685
48310	0	0	16.589041282722	24.1644119720995	14.9824576118778
48311	0	0	0	0	0
48312	0	0	0	0	0
48313	0	0	0	0	0
48314	0	0	0	0	0
48315	0	0	0	0	0
48316	0	0	0	0	0
48317	0	0	0	0	0
48318	0	0	0	0	0
48319	0	0	0	0	0
48320	0	0	0	0	0
48321	0	0	0	0	0
48322	0	0	0	0	0
48323	0	0	0	0	0
48324	3.01953260947523	0	7.74762917050201	9.29867965727169	9.1269151720708
48325	5.41433433423145	9.80961791153131	0.491141939753175	0.498779751731049	0.311723867945932
48326	0	0	0	0	0
48327	0	0	0	0	0
48328	1.94647556643858	1.17553272493557	0.184975535751196	0.409859158447237	0.401569900132828
48329	0	0	0	0	0
48330	0	0	0	0	0
48331	0	0	0	0	0
48332	0	0	0	0	0
48333	0	0	0	0	0
48334	0	0	0	0	0
48335	71.306904307876	30.0707582623619	93.9503988176843	97.4986093221562	98.1051499301248
48336	0	0	0.374818848759002	0.570971557902648	0.312236571676106
48337	0	0	0	0	0
48338	0	0	1.00303635583395	1.22236164508736	1.78253366740913
48339	0	0	0.0310985071022753	0.0631642480358096	0.0690829095993714
48340	0	0.556243697218116	0	0.00808078927385497	0
48341	0	0	0	0	0.219722031920223
48342	328.028914644852	190.387700603389	330.646399006546	311.362937808965	324.0031302325
48343	0	0	0.263761412089668	0.226653476926217	0.0450711860349175
48344	0	0	0	0	0
48345	0	0	3.92995682561696	6.16802050844666	4.04758846761401
48346	0	0	0.0256632725276434	0.104249461623066	0.0570089596333552
48347	0	0	0.0693095681403508	0.0439921313874708	0.0256609672315589
48348	0	0	2.7791446347009	1.32298287806711	2.60450993934703
48349	0	0	0.293874475643234	0.179066733427515	0.141444169104077
48350	0	0	0.0238978460618156	0	0
48351	0	0	0	0	0
48352	0	0	0	0	0
48353	0	0	0	0	0.00393727881987458
48354	0	0	0.662470523388004	0.0840965860476768	0.367906658098978
48355	0	0	0.617726312623262	0.415557936801338	0.480717815692863
48356	16.9093826130613	45.9542869855582	102.386093371392	87.6778068196763	114.938285066945
48357	0	0	0.0937047121897506	0.570971557902648	0.312236571676106
48358	43.9253500383697	45.981494970748	7.32394698969411	7.07815422105722	6.43477240195495
48359	4.89218042959489	14.7726441842794	104.266373281191	75.3275829802722	94.0045179888954
48360	155.843936769632	122.601922368187	352.570273214009	331.822535431463	399.985922227549
48361	0	0	0	0	0.00488070330057262
48362	0	0	0	0	0
48363	0	1.45354192411741	1.62184389448421	0.728509695776517	1.31640761897897
48364	0	0	0.924683987095507	0.870906006294789	0.61292093511568
48365	1.83797637098492	0.832505199013736	8.20527349348512	7.17183561080171	7.57930781680662
48366	129.756026301616	134.8311545236	558.251028687783	498.627346806908	536.231618901304
48367	125.515633285224	18.4384484818598	503.080933325694	469.564189606506	508.192646272374
48368	0	6.30174821531917	2.3438039403411	2.47180092155323	2.60328888452315
48369	18.2576390340363	38.867759341329	160.388845644546	143.588913777405	171.996362661272
48370	0	0	0	0	0
48371	0	0	7.58215641320449	7.98792050160321	9.40541473951044
48372	53.1827356378541	0	0	0	0
48373	0	0	0.04437107866929	0.157713846731157	0
48374	0	0	0	0.0123418197953928	0
48375	0	0	0	0	0
48376	0	0	0.0721779539839971	0.0244334675679061	0.0801688494844057
48377	0	0	0	0	0
48378	0	0	0	0	0
48379	0	0	1.91182768494525	1.14066577451245	1.64570327263737
48380	7.85669207190772	13.8600526962964	31.7549687412875	28.2925214252227	34.5206623513488
48381	0	0	0	0	0
48382	119.25715934756	200.151239744923	1614.6849233358	1381.67555847139	1686.69034867556
48383	0	0	0.0629298214411285	0.0639084512527264	0.11649474446433
48384	0	0	0	0	0
48385	0	0	0.0474770541761403	0.144646128002004	0.0790999314912803
48386	17.5512309059655	26.3254706858804	40.5891527561359	45.7339249740368	42.6891148592731
48387	0	0	0.00810188637818094	0.00411393993179761	0.00674914091222528
