baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Symbol	Tag
173,183610562128	-0,113615242573	0,201164055323129	-0,564788984744318	0,572217300224481	0,731686254479298	ENSG00000171735.19	CAMTA1	NC
1182,10634679037	0,44252112824953	0,276419156247056	1,60090615374723	0,109397706422163	0,191066040512118	ENSG00000049245.13	VAMP3	NC
126,936371911678	0,494422634124998	0,807057917333277	0,612623485261994	0,540125325733795	0,704887649646398	ENSG00000049246.14	PER3	NC
65,8471735224933	10,8542705933424	0,950774218717884	11,4162441299463	3,46904123912133e-30	1,83425283884633e-28	ENSG00000049247.13	UTS2	Up
510,751485820646	0,0568972392785093	0,210817505368257	0,269888590034879	0,78724596540023	0,87735685661867	ENSG00000116288.13	PARK7	NC
181,881234560255	1,06355026868784	0,461733743223472	2,30338432981515	0,0212572286308138	0,0494254705932549	ENSG00000116285.13	ERRFI1	Up
371,799244206394	0,924417653650802	0,252808517073254	3,65659220801862	0,000255590497936256	0,00102340929868386	ENSG00000142599.19	RERE	NC
1615,79228761217	-1,89129607724314	0,215949827406346	-8,75803467851053	1,98684049175293e-18	4,70927198364988e-17	ENSG00000074800.16	ENO1	Down
16,1267993564747	7,5611588541104	1,96409635296581	3,84968835296342	0,000118268207803535	0,000512193781498873	ENSG00000131686.15	CA6	Up
25,3263057586646	3,6866297084274	0,876935695424647	4,20399092848214	2,62249452188914e-05	0,000131021118362939	ENSG00000142583.18	SLC2A5	Up
74,6812337095876	-1,400448402872	1,0071386502821	-1,39052195294038	0,164370437779144	0,2679432568529	ENSG00000180758.12	GPR157	NC
115,023329297269	-1,13508750945492	0,397626390974759	-2,85465838087938	0,00430831439068896	0,0125842585286727	ENSG00000228526.7	MIR34AHG	Down
34,7762216047631	3,20050835597231	0,613692653092067	5,21516485466573	1,83653828646866e-07	1,35676632585922e-06	ENSG00000234546.4	LNCTAM34A	Up
416,382086062742	-3,63894249814395	0,343440271959416	-10,5955614272689	3,124604252533e-26	1,2819225614686e-24	ENSG00000049239.12	H6PD	Down
46,7258743277565	0,282122097786691	0,541082582053816	0,521403030043632	0,602086041119779	0,753624850992299	ENSG00000171612.7	SLC25A33	NC
210,808791040402	-1,86503148165279	0,314432570910777	-5,93141949719327	3,00326804848491e-09	2,84298795712588e-08	ENSG00000171603.17	CLSTN1	Down
218,257339980281	-0,470354321478037	0,675630917218268	-0,696170511874437	0,486322052353404	0,64925537922128	ENSG00000162441.12	LZIC	NC
76,5238850506967	-0,130858938870624	0,304510795544452	-0,429734974212177	0,667388439141144	0,79954112039449	ENSG00000173614.14	NMNAT1	NC
88,7316386714232	1,31403968284888	0,726622877778704	1,80842046546334	0,0705410851038532	0,132781039100135	ENSG00000162444.12	RBP7	NC
339,588926391551	0,324707927155528	0,141493266186864	2,29486487877593	0,0217408691112343	0,0504517707419381	ENSG00000130939.20	UBE4B	NC
435,420491660857	0,844492905875584	0,259004259574214	3,26053674663063	0,00111201557024649	0,00381216882939867	ENSG00000054523.17	KIF1B	NC
1583,95948296895	-2,03711482210084	0,150550361874252	-13,5311187348879	1,02452501961559e-41	9,74568091667965e-40	ENSG00000142657.21	PGD	Down
224,123488356645	0,436637832620881	0,276930653794129	1,5767045888155	0,114863514034506	0,198803302851125	ENSG00000160049.12	DFFA	NC
148,572964590497	-2,45821091983501	0,477295156605224	-5,15029512832083	2,60076884253764e-07	1,87433216818217e-06	ENSG00000142655.13	PEX14	Down
75,8970170868375	1,77867171382558	0,497223597845325	3,57720695786222	0,00034728520853998	0,00135120786472933	ENSG00000130940.15	CASZ1	Up
324,7170114537	-0,188426268454102	0,216188540801546	-0,871583053178898	0,383435879111749	0,536730337878915	ENSG00000120948.17	TARDBP	NC
208,034241804653	0,816051460661506	0,321966871460195	2,5345820734926	0,0112581550923702	0,029181072844921	ENSG00000116649.10	SRM	NC
343,872251936981	0,419124500270101	0,221789560403452	1,88973953286026	0,0587928040996988	0,113956018869594	ENSG00000171824.14	EXOSC10	NC
406,432856941395	-0,171461171910314	0,139590573763678	-1,22831483020187	0,219328805952096	0,34187432354685	ENSG00000198793.13	MTOR	NC
56,3194657644173	-0,218240721088571	1,02909518116815	-0,212070491711797	0,832052040310024	0,905006565271182	ENSG00000132879.14	FBXO44	NC
122,512645326677	-2,2371220045253	0,312698254327287	-7,15425165816182	8,41306023513913e-13	1,18134532289367e-11	ENSG00000116663.11	FBXO6	Down
196,204106002508	-1,15678391364342	0,261024120859534	-4,43171270851984	9,34875260065624e-06	5,09195549553858e-05	ENSG00000177674.16	AGTRAP	Down
