	V1	V2	V3	V4	V5	V6
NAME	Case1	Case2	Case3	NegCtrl1	NegCtrl2	NegCtrl3
CLASS_CvsI	Infected	Infected	Infected	Control	Control	Control
	2197	2038	6206	2419	2036	3321
	324	179	648	189	230	320
	1	1	6	1	4	3
	0	0	3	0	0	0
	0	0	0	1	2	0
	18	12	55	15	28	33
	2745	1948	6368	1887	1841	2616
	89	36	173	75	90	99
	189	223	605	262	197	344
	1937	1552	4873	1803	1680	2782
	0	0	0	0	0	0
	933	865	2470	875	726	1159
	18	14	50	25	21	30
	0	0	0	0	0	0
	273	318	840	313	332	526
	76	52	145	54	83	97
	16	12	42	13	12	24
	0	0	2	0	0	0
	11	5	11	4	9	8
	86	74	186	69	83	130
	907	794	2352	879	872	1102
	973	644	2175	737	745	992
	950	879	2853	955	828	1343
	55	46	143	38	37	67
	305	318	1045	297	334	455
	242	217	836	453	459	604
	1	0	3	1	0	1
	0	0	0	1	0	0
	2585	2614	8035	3162	2702	4028
	188	121	458	166	189	236
	0	0	0	0	0	0
	0	0	0	0	0	0
	5	13	16	17	8	10
	0	0	0	1	0	0
	0	0	0	0	0	0
	581	371	1260	561	528	768
	0	0	0	0	0	0
	669	636	1772	852	737	1160
	3276	3209	9579	3451	3070	5064
	1005	965	3020	1101	955	1601
	530	560	1714	678	456	845
	2	1	0	2	0	7
	1	0	6	5	2	2
	36	54	156	63	48	62
	307	312	976	425	397	583
	147	106	334	125	131	187
	2668	2805	8494	3202	2750	4056
	257	261	708	268	274	439
	3	3	2	0	3	0
	0	0	0	0	0	0
	100	111	350	128	117	173
	0	0	0	0	0	0
	119	134	408	107	120	234
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	3	0	0	0
	0	0	0	0	0	0
	1	4	20	8	3	5
	0	0	0	0	0	0
	1321	1368	4210	1973	1866	2589
	563	584	1628	688	566	887
	0	0	0	0	0	0
	737	747	2752	671	668	905
	1370	1198	3572	1390	1342	2026
	3395	3220	8910	3758	3581	4969
	4	0	14	14	3	3
	152	106	433	138	128	281
	1505	1772	5310	2149	1882	2787
	2448	2677	7936	2835	2424	4001
	2669	2281	6759	2628	2387	3387
	1	2	5	1	0	2
	165	128	474	172	134	228
	5	3	8	0	3	6
	33	21	123	35	41	43
	1040	1196	3233	1337	1288	2272
	28	22	52	15	50	13
	5372	2937	9604	3842	4335	5655
	0	0	0	0	0	2
	0	0	0	0	0	0
	16	24	67	20	25	45
	3299	3785	10877	4261	4097	7429
	182	126	232	70	94	100
	572	573	1683	645	624	954
	2	0	3	0	5	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	0	0	0	0	0	0
	1232	1074	3150	1331	1266	1692
	0	0	0	0	1	0
	0	0	10	4	1	0
	1095	1207	3565	1302	1122	2066
	0	0	0	0	0	0
	2664	2723	7922	2922	2449	4295
	1	0	7	1	4	0
	3456	3725	10005	4167	4042	7375
	394	454	1254	590	515	892
	25	24	73	43	41	31
	112	93	250	110	137	188
	2	6	13	7	4	9
	686	514	1588	683	735	1228
	0	0	0	0	0	0
	16694	17730	54125	20603	16960	28510
	295	291	802	369	277	501
	1129	781	2569	963	972	1463
	567	485	1440	478	497	670
	415	444	1216	608	450	649
	325	360	878	431	396	557
	0	0	0	0	0	0
	0	0	0	0	0	0
	134	142	448	168	117	166
	634	722	2007	759	649	1220
	26	16	96	27	22	38
	44	54	106	38	49	79
	137	141	450	198	152	211
	0	1	0	0	0	0
	681	637	1935	788	863	1076
	281	300	869	316	352	499
	1661	1761	4790	1878	1645	2783
	4	0	2	1	1	2
